ID	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
ESCC051T2	0.0454643989676854	0.189619857231439	0.139347050994244	0	0.0660155389001331	0.0183576706655843	0	0.0263291080682413	0	0.018873762522989	0	0	0.00371091644475392	0.00864441432698877	0.0281536772033299	0.0843515436498458	0	0.0310555756404565	0	0.312077204727517	0.0118018306584235	0.0161974499983689	0	0.385948952525844	0.936629534455887
ESCC051T3	0.0436475569002243	0	0.212179494054538	0.00151739602374026	0.052782678449031	0.0171762103091148	0	0.0104855326678936	0	0	0.00787803936666103	0	0.00902674365548557	0.0126032400859043	0.00238034592410353	0.0954556578885631	0.0227341720757025	0.0288117753794508	0	0.454923797857407	0.0120181004545738	0.0163792589076062	0.01	0.244051137547471	1.0492918855439
ESCC051T4	0	0.0301978180613959	0.202476181253159	0.076760433849553	0.0614299153571933	0.151556015873739	0	0.0362410847193378	0	0	0	0.00748447922250156	0.0151155804223791	0.00441782653865594	0.0143192875924947	0.041851516310684	0.0130900958694756	0.0223901697239054	0	0.264071563922744	0.0334493508248105	0.0251486804579717	0	0.29529422241678	0.978158546257209
ESCC051T5	0	0.0349239288040747	0.207962271576794	0	0.0643994787354193	0.0290417637392869	0	0.009130701980149	0	0	0.00257339001711309	0.00491123001762029	0	0.00201455185083688	0.0148346583633499	0.152166541175673	0	0.062758541869543	0	0.400163037785843	0	0.0151199040842973	0	0.265691063971097	1.01957402855552
ESCC052N	0.366678433122133	0	0.18316438623357	0.172877242111053	0	0.0516222194312562	0	0.0411244331102112	0.00493248876946126	0	0	0	0.00725574278982324	0	0	0.0522071090100315	0	0.0091287766049505	0.0758260748065965	0.0153018877789064	0	0.0198812062320064	0	0.489935387003245	0.881278230434468
ESCC052T1	0.113341054420316	0	0.145572496174494	0.0396958033013199	0.00812059095880989	0.0908047957610206	0	0.0189822265531919	0	0	0.0201937779723834	0	0	0.00174894512039997	0	0.118556358931028	0.0580887866430648	0.0629436242598686	0	0.248842587970576	0.0126621648951674	0.0604467870383583	0	0.263318424725877	0.986657681061289
ESCC052T2	0.0565187721865219	0	0.0120400048391151	0.0152561617590527	0.0236023795080436	0.109117819256568	0.0448588424611855	0	0	0	0.0223419634789579	0	0	0	0	0.192719636949156	0	0.00603628928968136	0	0.144972050226354	0	0.372536080045364	0	0.352303331582245	0.957779678059926
ESCC052T3	0.128954413172348	0	0.0478740908861458	0.00698431759086253	0	0.0949124812237147	0	0.00907388835157222	0	0	0.0291242037998581	0	0	0.402709643158576	0.00744854620278997	0.0623496890112819	0	0.00573680954018772	0	0.142193349627002	0	0.0626385674356611	0.01	0.253111100157414	1.00360831989625
ESCC052T4	0.0748612381168027	0	0.14315537138197	0.0373959231267193	0.0722447146437716	0.100146596102989	0.0148718086963962	0	0	0	0.0451884576837773	0	0.00927726670762863	0	0	0.19427576100816	0.0137309771285834	0.00582576031685231	0.157959728186637	0.0822541701285428	0	0.0488122267711689	0.04	0.164942096578067	1.01963641487436
ESCC052T5	0.156047479745268	0	0.130512046383625	0.114880584507384	0	0.099837870706732	0	0.0196217817472022	0	0	0	0.0175218237946122	0.00803266778425573	0	0.00190815067250827	0.155533200897594	0.0370056065752803	0.00246716774919764	0	0.235672517380686	0	0.0209591020556544	0	0.341400164109422	0.950197121003132
ESCC053N	0	0.144802532016515	0.151218628706679	0.156396811368652	0	0.129374241134922	0	0.0607636070055451	0	0.018579311007182	0	0	0.000543828754036338	0	0.0201920502978101	0.12301679372185	0.05091972048802	0	0.055098119775983	0.0890943557228064	0	0	0	0.403866312275753	0.915762776192743
ESCC053T1	0.239946447966357	0	0.277263153656272	0.0218304888572622	0	0.0667392037867005	0.0265036557740003	0.00795671159430307	0	0	0.0499119539532837	0	0.00127250432052695	0	9.67380452197108e-05	0.128534536423441	0.0207763874214904	0.0137877159636695	0	0.101768051986553	0	0.0436124502509204	0	0.487560143162893	0.880961688633496
ESCC053T2	0.105946842664837	0	0.194531669353662	0.0427793581834808	0.00979581619499359	0.0447105306080457	0.0291329203189603	0.054916066401964	0	0	0.0400846772946971	0	0.00208121100437455	0.0385807995428261	0.00299594331836532	0.122119849855759	0	0.0736084826099997	0	0.164069329625128	0.00229740313429685	0.07234909988861	0	0.392663468498434	0.922295936166324
ESCC053T3	0.131811446971363	0	0.0665136658263871	0.0470796017613181	0	0.0837451593383397	0.0119381424545962	0	0	0	0.0318912758169316	0	0	0.339970681848448	0.0325321403729903	0.133760873027125	0	0	0	0.106280941890394	0	0.0144760706921067	0	0.27546469900726	0.983609493390179
ESCC053T4	0.0447314554595062	0.0550518401381556	0.186922129689383	0.0401707522943697	0.0840707454022384	0.00509568214672635	0.110728304893343	0.00910698881293678	0	0.00323456574579534	0.0304995478842371	0	0	0.0143895335200986	0.0056537262752979	0.171240194776574	0	0.0527238311730531	0	0.145259273533606	0	0.0411214282546795	0	0.383042280090634	0.925549353602629
ESCC053T5	0.02437670832836	0	0.137623558299488	0.0220664588988931	0.0241193244357756	0.0721873312606569	0	0.000694432824862641	0	0	0.00378201515127009	0	0	0.384496846186893	0.0106492705779612	0.0878602361197934	0	0.00201997637049079	0	0.210140226067952	0	0.0199836154776036	0.04	0.185792195127688	1.04772479644213
ESCC054N	0.213988409844014	0.0676717007401716	0.198252240707851	0.13797234053466	0	0.0192498796499611	0.000554029707474908	0	0	0	0.0684581175937818	0	0.0216648944078153	0	0.00601465286524637	0.150372353494472	0	0	0.06129536012247	0.0252289221798923	0	0.0292770981521889	0	0.488836725771441	0.874183833489551
ESCC054T1	0	0.0179250568475487	0.00764715298342016	0.033862974832774	0.0430785161619241	0.198115183258382	0	0	0	0	0.0131845422817797	0	0.0145190282026197	0.112778963803475	0.00902565840262517	0.0168542833874697	0.00651503801806467	0.013873356732707	0	0.455878397774457	0.00586617455635337	0.0508756727564	0.07	0.12107623618614	1.10865510612263
ESCC054T2	0.0914953740223559	0.0821728184142496	0.0412762765082582	0	0.00442327686491451	0.0932028705975929	0.000548512438229173	0.0206697526808564	0	0	0.0584602182704205	0	0	0.31553343997595	0.00103497126246888	0.0481289220489931	0	0.0217550214859055	0	0.187435010886087	0	0.0338635345437184	0.02	0.226809134410432	1.00832420701355
ESCC054T3	0.110215370163504	0	0.172593817695389	0	0.0324325178264468	0.0294878524009123	0	0.0527186561503139	0	0.0184152796177283	0	0.00474537130929991	0.00114103699490525	0.0652343000085301	0.0168547670111613	0.0538147852113881	0.00601525203225779	0.0319424072029093	0	0.349320786250307	0	0.0550678001249479	0	0.289026578728534	0.995216245585098
ESCC054T4	0.14087302949391	0.0530150250526312	0.129315045379458	0	0.0463488109142535	0.0177452101533494	0	0.0188253548803643	0	0	0.0265236814739544	0	0	0.218678292145656	0.0358500381241218	0.0345925730707629	0	0.0340529181171821	0	0.187317291527634	0.00485665168081781	0.052006077985904	0	0.353189173071293	0.946654503125972
ESCC054T5	0.0262975744177246	0	0.0611523447555712	0	0.0281613813079793	0.0220442910399155	0	0.017459440502111	0	0	0	0.00474184911983832	0	0.125664038742836	0	0.0346243478834802	0	0.0498908857493756	0	0.571731339361445	0	0.0582325071197227	0.1	0.08182967926326	1.18924657483684
